"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"","image-slider-response-modified","322","3398818","0.0-322.0","60588","DH-016","19:17:26","","","","","","","","","","","","assessment 5","","185","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","323","3399364","0.0-323.0","60588","DH-016","19:17:27","","","","","","","","","","","","assessment 6","","541","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","324","3399938","0.0-324.0","60588","DH-016","19:17:27","","","","","","","","","","","","assessment 7","","570","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","325","3400941","0.0-325.0","60588","DH-016","19:17:28","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","326","3401943","0.0-326.0","60588","DH-016","19:17:29","1440","900","true","chrome","130.0.0","false","Mac OS","true","60.01","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","327","3503222","0.0-327.0","60588","DH-016","19:19:11","","","","","","","","","","","","video27","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","328","3505155","0.0-328.0","60588","DH-016","19:19:13","","","","","","","","","","","","assessment 0","","1929","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","329","3505861","0.0-329.0","60588","DH-016","19:19:13","","","","","","","","","","","","assessment 1","","705","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","330","3508254","0.0-330.0","60588","DH-016","19:19:16","","","","","","","","","","","","assessment 2","","2391","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","331","3508895","0.0-331.0","60588","DH-016","19:19:16","","","","","","","","","","","","assessment 3","","637","components/portraits/StimImgJonathanFraser.PNG","70","","","","","70","Jonathan Fraser","A",""
"","image-slider-response-modified","332","3509670","0.0-332.0","60588","DH-016","19:19:17","","","","","","","","","","","","assessment 4","","771","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","333","3510679","0.0-333.0","60588","DH-016","19:19:18","","","","","","","","","","","","assessment 5","","1006","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","334","3511323","0.0-334.0","60588","DH-016","19:19:19","","","","","","","","","","","","assessment 6","","640","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","335","3511997","0.0-335.0","60588","DH-016","19:19:20","","","","","","","","","","","","assessment 7","","670","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","336","3513001","0.0-336.0","60588","DH-016","19:19:21","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","337","3514007","0.0-337.0","60588","DH-016","19:19:22","1440","900","true","chrome","130.0.0","false","Mac OS","true","59.71","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","338","3627235","0.0-338.0","60588","DH-016","19:21:15","","","","","","","","","","","","video28","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","339","3633740","0.0-339.0","60588","DH-016","19:21:21","","","","","","","","","","","","assessment 0","","6501","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","340","3635168","0.0-340.0","60588","DH-016","19:21:23","","","","","","","","","","","","assessment 1","","1425","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","341","3636310","0.0-341.0","60588","DH-016","19:21:24","","","","","","","","","","","","assessment 2","","1138","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","342","3637419","0.0-342.0","60588","DH-016","19:21:25","","","","","","","","","","","","assessment 3","","1105","components/portraits/StimImgJonathanFraser.PNG","70","","","","","70","Jonathan Fraser","A",""
"","image-slider-response-modified","343","3638210","0.0-343.0","60588","DH-016","19:21:26","","","","","","","","","","","","assessment 4","","787","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","344","3643503","0.0-344.0","60588","DH-016","19:21:31","","","","","","","","","","","","assessment 5","","5289","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","345","3644344","0.0-345.0","60588","DH-016","19:21:32","","","","","","","","","","","","assessment 6","","837","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","346","3644818","0.0-346.0","60588","DH-016","19:21:32","","","","","","","","","","","","assessment 7","","470","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","347","3645821","0.0-347.0","60588","DH-016","19:21:33","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","348","3646822","0.0-348.0","60588","DH-016","19:21:34","1440","900","true","chrome","130.0.0","false","Mac OS","true","60.06","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","349","3738029","0.0-349.0","60588","DH-016","19:23:6","","","","","","","","","","","","video29","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","350","3742156","0.0-350.0","60588","DH-016","19:23:10","","","","","","","","","","","","assessment 0","","4123","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","351","3742345","0.0-351.0","60588","DH-016","19:23:10","","","","","","","","","","","","assessment 1","","187","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","352","3742667","0.0-352.0","60588","DH-016","19:23:10","","","","","","","","","","","","assessment 2","","318","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","353","3743197","0.0-353.0","60588","DH-016","19:23:11","","","","","","","","","","","","assessment 3","","527","components/portraits/StimImgJonathanFraser.PNG","70","","","","","70","Jonathan Fraser","A",""
"","image-slider-response-modified","354","3743420","0.0-354.0","60588","DH-016","19:23:11","","","","","","","","","","","","assessment 4","","219","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","355","3743963","0.0-355.0","60588","DH-016","19:23:11","","","","","","","","","","","","assessment 5","","540","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","356","3744423","0.0-356.0","60588","DH-016","19:23:12","","","","","","","","","","","","assessment 6","","455","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","357","3745298","0.0-357.0","60588","DH-016","19:23:13","","","","","","","","","","","","assessment 7","","872","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","358","3746301","0.0-358.0","60588","DH-016","19:23:14","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","359","3747304","0.0-359.0","60588","DH-016","19:23:15","1440","900","true","chrome","130.0.0","false","Mac OS","true","59.98","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","360","3834544","0.0-360.0","60588","DH-016","19:24:42","","","","","","","","","","","","video30","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","361","3837824","0.0-361.0","60588","DH-016","19:24:45","","","","","","","","","","","","assessment 0","","3277","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","362","3838028","0.0-362.0","60588","DH-016","19:24:46","","","","","","","","","","","","assessment 1","","200","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","363","3838486","0.0-363.0","60588","DH-016","19:24:46","","","","","","","","","","","","assessment 2","","456","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","364","3838711","0.0-364.0","60588","DH-016","19:24:46","","","","","","","","","","","","assessment 3","","222","components/portraits/StimImgJonathanFraser.PNG","70","","","","","70","Jonathan Fraser","A",""
"","image-slider-response-modified","365","3839404","0.0-365.0","60588","DH-016","19:24:47","","","","","","","","","","","","assessment 4","","688","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","366","3839886","0.0-366.0","60588","DH-016","19:24:47","","","","","","","","","","","","assessment 5","","478","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","367","3840161","0.0-367.0","60588","DH-016","19:24:48","","","","","","","","","","","","assessment 6","","270","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","368","3840756","0.0-368.0","60588","DH-016","19:24:48","","","","","","","","","","","","assessment 7","","592","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","369","3841758","0.0-369.0","60588","DH-016","19:24:49","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","370","3842776","0.0-370.0","60588","DH-016","19:24:50","1440","900","true","chrome","130.0.0","false","Mac OS","true","59.03","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","371","3918042","0.0-371.0","60588","DH-016","19:26:6","","","","","","","","","","","","video31","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","372","3919768","0.0-372.0","60588","DH-016","19:26:7","","","","","","","","","","","","assessment 0","","1722","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","373","3920068","0.0-373.0","60588","DH-016","19:26:8","","","","","","","","","","","","assessment 1","","296","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","374","3920251","0.0-374.0","60588","DH-016","19:26:8","","","","","","","","","","","","assessment 2","","179","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","375","3930527","0.0-375.0","60588","DH-016","19:26:18","","","","","","","","","","","","assessment 3","","10272","components/portraits/StimImgJonathanFraser.PNG","67","","","","","70","Jonathan Fraser","A",""
"","image-slider-response-modified","376","3930737","0.0-376.0","60588","DH-016","19:26:18","","","","","","","","","","","","assessment 4","","206","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","377","3931063","0.0-377.0","60588","DH-016","19:26:19","","","","","","","","","","","","assessment 5","","322","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
